,x,y,z,yaw,pitch,robot_x,robot_y,robot_z
1998,55.99749144160888,-0.530049287274575,0,6.273720000000001,0,0.0,0.0,0.0
2001,55.99971590714901,-0.1783769004157274,0,6.28,0,0.0,0.0,0.0
2003,170.0,0.0,0,0.0,0,0.0,0.0,0.0
2005,176.99650971307096,1.1115526936564235,0,0.00628,0,0.0,0.0,0.0
2007,176.98603898993474,2.223061549597168,0,0.01256,0,0.0,0.0,0.0
2009,176.96858824353856,3.334482731835438,0,0.01884,0,0.0,0.0,0.0
2011,195.93816384052815,4.923002214333666,0,0.02512,0,0.0,0.0,0.0
2013,205.89845446373107,6.467337121788455,0,0.0314,0,0.0,0.0,0.0
2015,214.84739144919303,8.09928314588437,0,0.03768,0,0.0,0.0,0.0
2017,225.78166474333648,9.931760454602657,0,0.04396,0,0.0,0.0,0.0
2019,237.6997003180469,11.95209055817032,0,0.05024,0,0.0,0.0,0.0
2021,247.60398614977103,14.009498304506849,0,0.05652,0,0.0,0.0,0.0
2023,247.5111245422367,15.564164861546574,0,0.0628,0,0.0,0.0,0.0
2025,258.3822657045516,17.877493375260656,0,0.06908,0,0.0,0.0,0.0
2027,258.2649007092873,19.49977080947248,0,0.07536,0,0.0,0.0,0.0
2029,261.1273581103319,21.365927228147022,0,0.08164,0,0.0,0.0,0.0
2031,260.9880317636215,23.00537494045433,0,0.08792,0,0.0,0.0,0.0
2033,260.8384125003473,24.64391536056445,0,0.0942,0,0.0,0.0,0.0
2035,261.6734623518496,26.38179487440424,0,0.10048,0,0.0,0.0,0.0
2037,261.50262579466624,28.024573190233543,0,0.10676,0,0.0,0.0,0.0
2039,261.3214760262205,29.666246265367956,0,0.11304,0,0.0,0.0,0.0
2041,261.130020190746,31.306749355060862,0,0.11932,0,0.0,0.0,0.0
2043,260.92826583892963,32.94601776070784,0,0.1256,0,0.0,0.0,0.0
2045,260.71622092761413,34.58398683239828,0,0.13188,0,0.0,0.0,0.0
2047,260.4938938194841,36.22059197146505,0,0.13816,0,0.0,0.0,0.0
2049,260.26129328273606,37.85576863303216,0,0.1444399999999999,0,0.0,0.0,0.0
2051,260.01842849073284,39.489452328560304,0,0.15072,0,0.0,0.0,0.0
2053,260.753009816401,41.27793444066542,0,0.157,0,0.0,0.0,0.0
2055,261.47534367827063,43.077194062871165,0,0.16328,0,0.0,0.0,0.0
2057,263.17098283355057,45.055896333588194,0,0.16956,0,0.0,0.0,0.0
2059,262.88284416023873,46.7077107790955,0,0.17584,0,0.0,0.0,0.0
2061,262.5843378422395,48.35768315327604,0,0.1821199999999999,0,0.0,0.0,0.0
2063,267.1870014134014,50.94218561973004,0,0.1884,0,0.0,0.0,0.0
2065,268.8240371431583,53.0060096031936,0,0.19468,0,0.0,0.0,0.0
2067,269.46573601704046,54.89277833007417,0,0.20096,0,0.0,0.0,0.0
2069,269.11569800375617,56.58392959092812,0,0.20724,0,0.0,0.0,0.0
2071,268.7550465328093,58.27284927946744,0,0.21352,0,0.0,0.0,0.0
2073,268.38379582767,59.95947078762079,0,0.2198,0,0.0,0.0,0.0
2075,268.00196052982403,61.64372759795311,0,0.22608,0,0.0,0.0,0.0
2077,270.5289326694481,64.01637750395751,0,0.23236,0,0.0,0.0,0.0
2079,270.12157786464434,65.71402568641557,0,0.23864,0,0.0,0.0,0.0
2081,271.6438833847643,67.89403964741349,0,0.24492,0,0.0,0.0,0.0
2083,272.1807698753148,69.8471796859466,0,0.2512,0,0.0,0.0,0.0
2085,271.73676530069537,71.55508635949519,0,0.25748,0,0.0,0.0,0.0
2087,274.17829347703525,74.04230808139839,0,0.26376,0,0.0,0.0,0.0
2089,274.6716645061616,76.02944638371775,0,0.27004,0,0.0,0.0,0.0
2091,277.0749841855211,78.57132516760335,0,0.27632,0,0.0,0.0,0.0
2093,276.5760958277252,80.30979527238864,0,0.2826,0,0.0,0.0,0.0
2095,285.65193519635375,84.89388622614766,0,0.2888799999999999,0,0.0,0.0,0.0
2097,293.72397279132446,89.30413096649731,0,0.29516,0,0.0,0.0,0.0
2099,305.57118389836245,95.00658698718291,0,0.30144,0,0.0,0.0,0.0
2101,304.96852085435256,96.92368796072684,0,0.30772,0,0.0,0.0,0.0
2103,304.3538303793584,98.83696643165828,0,0.314,0,0.0,0.0,0.0
